model_name,version_name,exterior_colour,interior_colour,vin,plate_number,plate_registration_date,km,battery,usage_update_date,key_1,key_2,current_location,model_information
SEALION 7,Sealion 7 Design,Polar White,Black,LGXCF4CD0R2174754,HC-251-FC,2025-02-28,,,,Bureau FR,Bureau FR,Colombes,e1643f4d-36d8-4ca9-b73a-2613fdcd480b
SEALION 7,Sealion 7 Excellence,Polar White,Black,LGXCF4CD9S2039343,HC-257-FC,2025-02-28,,,,Bureau FR,Bureau FR,Colombes,38105d81-9b2b-4387-924c-d7af80870e01
SEALION 7,Sealion 7 Design,Polar White,Black,LGXCF4CD0R2172938,HC-254-FC,2025-02-28,,,,Bureau FR,Bureau FR,Colombes,e1643f4d-36d8-4ca9-b73a-2613fdcd480b
TANG,Flagship,Emperor Red,Brown,LC0CF4CD6P0008721,GY-435-TB,2024-08-17,14213.0,44.0,2025-07-23,Bureau FR,Bureau FR,Colombes,9b97cf4a-896e-4bf1-b7e4-dc4e6b489c5a
TANG,Flagship,Emperor Red,Brown,LC0CF4CD3P0008708,GS-588-FQ,2024-06-11,10244.0,100.0,2025-07-23,Bureau FR,Bureau FR,Colombes,9b97cf4a-896e-4bf1-b7e4-dc4e6b489c5a
TANG,Flagship,White,,LC0CF4CD0P0198483,GY-439-TB,2024-08-17,581.0,91.0,2025-07-23,Bureau FR,Colombes,Colombes,0df60ee8-ec5d-43bf-b980-3ab85a460d35
TANG,Flagship,White,,LC0CF4CD2P0171382,GY-452-TB,2024-08-17,2207.0,93.0,2025-07-23,Bureau FR,Bureau FR,Colombes,0df60ee8-ec5d-43bf-b980-3ab85a460d35
TANG,Flagship,White,,LC0CF4CD5P0198530,GY-443-TB,2024-08-17,60.0,92.0,2025-07-23,Bureau FR,Bureau FR,Colombes,0df60ee8-ec5d-43bf-b980-3ab85a460d35
TANG ,Flagship,Mountain Grey,,LC0CF4CD6P0245922,GY-445-TB,2024-08-17,5800.0,,2025-07-18,Grégoire CHASSERAY MUGUET,Grégoire CHASSERAY MUGUET,Grégoire CHASSERAY MUGUET,2b64ca9a-6535-46a1-960c-014b0c2b04ac
TANG 2024,AWD 7P,Silver Sand Black,Orange,LC0CF4CD6R0449011,HB-376-MT,2025-01-23,28.0,,2025-03-26,Bureau FR,Bureau FR,Bureau FR,db02e816-eab5-466b-84e5-e46819d27713
TANG 2024,AWD 7P,Mountain Grey,Black,LC0CF4CD6R0449123,HB-344-MT,2025-01-23,2713.0,100.0,2025-07-23,Bureau FR,Bureau FR,Colombes,24cfbc9f-edde-47f2-9e3a-d19aa81cdee9
Yangwang U8,,,,,,,,,,EU,EU,Belgique,574fa8d1-ad2d-4e43-8b19-60c137837c1a
SEAL 6 DM-i Wagon,Comfort Lite,Atlantis Blue,Blue&black,LC0C74C43S4328660,HF-469-GH,2025-08-28,,,,Bureau FR,Olivier,Olivier,5effba2e-7a0b-4bc0-bfc0-58440bfa902a
SEAL 6 DM-i Wagon,Comfort Lite,Atlantis Blue,Blue&black,LC0C74C46S4328460,HF-340-GH,2025-08-28,,,,Bureau FR,Samuel,Samuel,5effba2e-7a0b-4bc0-bfc0-58440bfa902a
SEAL 6 DM-i Wagon,Comfort Lite,Atlantis Blue,Blue&black,LC0C74C4XS4328669,HF-597-GH,2025-08-28,,,,,,,5effba2e-7a0b-4bc0-bfc0-58440bfa902a
SEAL 6 DM-i Wagon,Comfort Lite,Atlantis Blue,Blue&black,LC0C74C47S4328659,HF-785-GH,2025-08-28,,,,,,,5effba2e-7a0b-4bc0-bfc0-58440bfa902a
SEAL 6 DM-i Wagon,Comfort Lite,Atlantis Blue,Blue&black,LC0C74C42S4328665,HF-767-GH,2025-08-28,,,,,,,5effba2e-7a0b-4bc0-bfc0-58440bfa902a
SEAL 6 DM-i Wagon,Comfort Lite,Atlantis Blue,Blue&black,LC0C74C48S4328461,HF-883-GH,2025-08-28,,,,,,,5effba2e-7a0b-4bc0-bfc0-58440bfa902a
SEAL 6 DM-i Sedan,Atlantis Blue,Blue&Black,,LC0C76C40S6179141,HF-431-GJ,2025-08-28,,,,,,,500e660b-ba46-4579-8c5e-f4550dd3621f
SEAL 6 DM-i Sedan,Atlantis Blue,Blue&Black,,LC0C76C42S6179187,HF-509-GJ,2025-08-28,,,,,,,500e660b-ba46-4579-8c5e-f4550dd3621f
SEAL 6 DM-i Sedan,Polar White,Blue&Black,,LC0C76C44S6179305,HF-582-GJ,2025-08-28,,,,,,,73791a21-ba66-452b-aca6-48e6f1a5b97c
SEAL 6 DM-i Sedan,Atlantis Blue,Blue&Black,,LC0C76C48S6179176,HF-709-GJ,2025-08-28,,,,,,,500e660b-ba46-4579-8c5e-f4550dd3621f
SEAL 6 DM-i Sedan,Obsidian Black,Blue&Black,,LC0C76C40S6179608,HF-797-GJ,2025-08-28,,,,,,,37650b86-b284-47c4-a7c8-a56b9db41f75
SEAL 6 DM-i Sedan,Atlantis Blue,Blue&Black,,LC0C76C42S6179142,HF-883-GJ,2025-08-28,,,,,,,500e660b-ba46-4579-8c5e-f4550dd3621f
