model_name,version_name,exterior_colour,interior_colour,vin,plate_number,plate_registration_date,km,battery,usage_update_date,key_1,key_2,current_location
DENZA D9,AWD Comfort,Blue,Black&Beige,LC0DD4C45R0767177,W-297-MR,,,,,,,Reparation
DENZA D9,AWD Comfort,Black,Black&Brown,LC0DD4C43R0640282,W-298-MR,,,,,LSQ,,LSQ
DENZA Z9 GT,(30)rear refrigerator+exterior streaming mirror,Silver,Purple + Pellegrino Beige,LC0DD4C43R7163473,W-299-MR,,,,,,,Cannes puis Espagne
DENZA Z9 GT,(20)R21+rear refrigerator+Intelligent side door,Black Emerald,Black Coquette + Red Velvet,LC0DDA4C5R7171251,,,,,,,,Jamais reçu
DENZA Z9 GT,(20)R20+rear refrigerator+Intelligent side door,Silver,Purple + Pellegrino Beige,LC0DDA4C7R7172466,W-302-MR,,,,,,,
DENZA Z9 GT,(30)R21,Black Emerald,Black Coquette + Red Velvet,LC0DD4C43R7115939,W-014-NK,,4688.0,,2025-07-23,Bureau FR,,Bureau FR
DENZA Z9 GT ,(20)R20 ,Green, Black Coquette + Red Velvet ,LC0DD4C48R7156079,W-291-MR,,5062.0,,2025-08-13,Bureau FR,,Bureau FR
DENZA Z9 GT,,White,Purple + Pellegrino Beige,LC0DD4C42R7157194,W-294-MR,,,,,Denza Golf,,Denza Golf
ATTO 2,Boost,Climbing grey,Black,LC0CE4CB7R4555087,HB-953-MS,2025-01-23,3003.0,68.0,2025-08-26,Bureau FR,Bureau FR,Colombes
ATTO 2,Boost,Cosmos Black,Black,LC0CE4CB3R4689112,HB-237-MT,2025-01-23,1021.0,73.0,2025-07-23,Bureau FR,Bureau FR,Colombes
ATTO 2,Boost,Hiking Green,Black,LC0CE4CB9R4555074,HB-857-MS,2025-01-23,1510.0,66.0,2025-07-23,Bureau FR,Bureau FR,Colombes
ATTO 2,Boost,Skiing White,Black,LC0CE4CBXR4555102,HB-099-MT,2025-01-23,,,,Bureau FR,Haikel / Tarek Abbas,Haikel / Tarek Abbas
ATTO 2,Boost,Hiking Green,Black,LC0CE4CB8R4555101,HB-827-MR,2025-01-23,5319.0,,2025-07-23,Bureau FR,LSQ,LSQ
ATTO 2,Boost,Climbing grey,Black,LC0CE4CB4R4555080,HB-907-MS,2025-01-23,1800.0,100.0,2025-09-03,Bureau FR,Bureau FR,Bureau FR
ATTO 2,Boost,Skiing White,Black,LC0CE4CB4R4543270,HB-061-MT,2025-01-23,,,,LSQ,LSQ,LSQ
ATTO 2,Boost,Hiking Green,Black,LC0CE4CB1R4671675,HB-143-MT,2025-01-23,2117.0,,2025-07-23,LSQ,LSQ,LSQ
ATTO 2,Boost,Cosmos Black,Black,LC0CE4CBXR4681878,HB-265-MT,2025-01-23,,,,Bureau FR,LSQ/Prêté,Haikel LSQ/Prêté
ATTO 2,Active,Climbing grey,Black,LC0CE4CB1S4015904,HC-106-FC,2025-02-28,,,,Bureau FR,Bureau FR,Colombes
ATTO 2,Active,Hiking Green,Black,LC0CE4CB3S4012809,HC-123-FC,2025-02-28,,,,Bureau FR,Bureau FR,Colombes
ATTO 2,Active,Skiing White,Black,LC0CE4CB8S4015785,HC-127-FC,2025-02-28,,,,Bureau FR,Bureau FR,Colombes
ATTO 2,Boost,Climbing grey,Black,LC0CE4CB8S4024521,HC-131-FC,2025-02-28,,,,Bureau FR,Bureau FR,Colombes
ATTO 2,Boost,Climbing grey,Black,LC0CE4CB1S4024554,HC-136-FC,2025-02-28,,,,Bureau FR,Bureau FR,Colombes
ATTO 2,Boost,Cosmos Black,Black,LC0CE4CB6S4022783,HC-148-FC,2025-02-28,,,,Bureau FR,Bureau FR,Colombes
ATTO 2,Boost,Cosmos Black,Black,LC0CE4CB9S4022745,HC-154-FC,2025-02-28,,,,Bureau FR,Bureau FR,Colombes
ATTO 2,Boost,Cosmos Black,Black,LC0CE4CB1S4022772,HC-156-FC,2025-02-28,,,,Bureau FR,Bureau FR,Colombes
ATTO 2,Boost,Skiing White,Black,LC0CE4CB8R4650922,HC-178-FC,2025-02-28,,,,Bureau FR,Bureau FR,Colombes
ATTO 2,Boost,Skiing White,Black,LC0CE4CB2R4650995,HC-181-FC,2025-02-28,,,,Bureau FR,Bureau FR,Colombes
ATTO 2,Boost,Skiing White,Black,LC0CE4CB9R4650993,HC-183-FC,2025-02-28,,,,Bureau FR,Bureau FR,Colombes
ATTO 2,Boost,Skiing White,Black,LC0CE4CB8R4650998,HC-188-FC,2025-02-28,,100.0,,Bureau FR,Bureau FR,Bureau FR
ATTO 2,Boost,Skiing White,Black,LC0CE4CB8R4651035,HC-190-FC,2025-02-28,,,,Bureau FR,Bureau FR,Colombes
ATTO 2,Boost,Climbing grey,Black,LC0CE4CB2S4024563,HC-139-FC,2025-02-28,,,,Bureau FR,Bureau FR,Colombes
ATTO 2,Boost,Cosmos Black,Black,LC0CE4CB2S4022845,HC-161-FC,2025-02-28,,,,Bureau FR,Bureau FR,Bureau FR
ATTO 2,Boost,Hiking Green,Black,LC0CE4CB0S4024657,HC-176-FC,2025-02-28,,,,Bureau FR,Bureau FR,Colombes
ATTO 2,Boost,Skiing White,Black,LC0CE4CB2R4650950,HC-194-FC,2025-02-28,,,,Bureau FR,Bureau FR,Bureau FR
ATTO 2,Active,Cosmos Black,Black,LC0CE4CB1S4012761,HC-115-FC,2025-02-28,,,,Jamais reçu,Jamais reçu,Jamais reçu
ATTO 2,Boost,Hiking Green,Black,LC0CE4CB9R4671682,HB-179-MT,2025-01-23,630.0,69.0,2025-06-12,Bureau FR,Nicolas Buisson,Nicolas Buisson
